idx      freq   hz   halfsplid  fullsplid
284,        9,  佇,       29,      435
285,       12,  佈,        2,       50
286,       13,  佉,       18,      295
287,        8,  佌,        3,       59
288,    14034,  位,       25,      372
289,    15739,  低,        5,       95
290,    21924,  住,       29,      435
291,     1852,  佐,       28,      422
292,      609,  佑,       27,      401
293,        6,  佒,       27,      393
294,     5567,  体,       22,      356
295,       20,  佔,       29,      425
296,     6636,  何,        9,      148
297,        8,  佖,        2,       43
298,       54,  佗,       22,      367
299,      257,  佘,       21,      334
300,     4432,  余,       27,      402
301,       83,  佚,       27,      396
302,     4148,  佛,        7,      121
303,       96,  佛,        7,      123
304,    19307,  作,       28,      422
305,        8,  佝,        8,      134
306,       30,  佞,       15,      257
307,      395,  佟,       22,      361
308,   973526,  你,       15,      251
309,        7,  佡,       26,      379
310,     2905,  佢,       18,      295
311,      104,  佣,       27,      400
312,       31,  佤,       25,      368
313,       34,  佥,       18,      287
314,        8,  佧,       12,      176
315,      920,  佩,       17,      273
316,        7,  佪,        9,      159
317,        5,  佫,        9,      148
318,      686,  佬,       13,      199
319,        5,  佮,        8,      129
320,       97,  佯,       27,      393
321,      275,  佰,        2,       36
322,     2905,  佳,       11,      163
323,        4,  佴,        6,      113
324,        4,  佴,       15,      243
325,       10,  併,        2,       48
326,       22,  佶,       11,      162
327,       41,  佷,        9,      151
328,       45,  佸,        9,      161
329,       32,  佹,        8,      140
330,       38,  佺,       18,      296
331,       16,  佻,       22,      358
332,       18,  佼,       11,      166
333,       19,  佽,        3,       59
334,       14,  佾,       27,      396
335,    34422,  使,       21,      338
336,       17,  侀,       26,      384
337,       11,  侁,       21,      336
338,       15,  侂,       22,      367
339,      543,  侃,       12,      178
340,      101,  侄,       29,      432
341,        5,  侅,        9,      144
342,      458,  來,       13,      196
343,       11,  侇,       27,      396
344,       31,  侈,        4,       75
345,        9,  侉,       12,      188
346,        7,  侊,        8,      139
347,     2655,  例,       13,      203
348,      363,  侍,       21,      338
349,       27,  侏,       29,      435
350,        4,  侐,       26,      387
351,       72,  侑,       27,      401
352,        5,  侒,        1,       32
353,       21,  侔,       14,      239
354,        5,  侕,        6,      113
355,        5,  侖,       13,      218
356,       44,  侗,        5,      102
357,       30,  侗,       22,      361
358,        7,  侘,        4,       67
359,        6,  侚,       26,      390
360,     4782,  供,        8,      133
361,        5,  侜,       29,      434
362,     3390,  依,       27,      396
363,        7,  侞,       19,      308
364,      855,  侠,       26,      378
365,       12,  価,       20,      321
366,      241,  侣,       13,      220
367,       34,  侥,       11,      166
368,       25,  侥,       27,      394
369,      100,  侦,       29,      430
370,     2222,  侧,        3,       56
371,        4,  侧,       28,      411
372,        5,  侧,       29,      424
373,      342,  侨,       18,      289
374,       80,  侩,       12,      189
375,       16,  侪,        4,       68
376,        6,  侫,       15,      257
377,     1991,  侬,       15,      259
378,        3,  侭,       11,      168
379,       45,  侮,       25,      376
380,     2784,  侯,        9,      153
381,        4,  侲,       29,      430
382,        3,  侳,       28,      422
383,      384,  侵,       18,      291
384,        3,  侶,       13,      220
385,        3,  侷,       11,      172
386,        5,  侹,       22,      360
387,        3,  侺,       21,      336
388,        5,  侻,       22,      367
389,    16096,  便,        2,       44
390,      502,  便,       17,      277
391,        5,  俀,       22,      365
392,        5,  俁,       27,      402
393,     3253,  係,       26,      377
394,     1410,  促,        3,       62
395,    11526,  俄,        6,      109
396,       11,  俅,       18,      294
397,        5,  俇,        8,      139
398,        4,  俉,       25,      376
399,     2406,  俊,       11,      175
400,        6,  俋,       27,      396
401,        5,  俍,       13,      206
402,       41,  俎,       28,      418
403,      370,  俏,       18,      289
404,      177,  俐,       13,      203
405,       80,  俑,       27,      400
406,        6,  俓,       27,      398
407,        5,  俔,       26,      379
408,        3,  俖,       17,      273
409,     1370,  俗,       20,      324
410,       61,  俘,        7,      123
411,        4,  俙,       26,      377
412,       35,  俚,       13,      203
413,        8,  俛,       14,      232
414,        5,  俜,       17,      281
415,     4532,  保,        2,       39
416,      510,  俞,       21,      340
417,      510,  俞,       27,      402
418,        5,  俟,       18,      285
419,       67,  俟,       20,      321
420,       12,  俠,       26,      378
421,    11312,  信,       26,      383
422,       14,  俣,       27,      402
423,        9,  俤,        5,       95
424,        4,  俥,       11,      172
425,       22,  俦,        4,       77
426,       40,  俨,       27,      392
427,     5217,  俩,       13,      204
428,      547,  俩,       13,      206
429,       83,  俪,       13,      203
430,       13,  俬,       20,      321
431,      225,  俭,       11,      164
432,     6711,  修,       26,      386
433,      194,  俯,        7,      123
434,     1027,  俱,       11,      172
435,       17,  俳,       17,      269
436,        6,  俴,       11,      164
437,        8,  俵,        2,       45
438,       14,  俶,        4,       78
439,       14,  俶,       22,      356
440,       23,  俷,        7,      117
441,       57,  俸,        7,      119
442,    16897,  俺,        1,       32
443,     1617,  俾,        2,       43
444,        6,  俿,        9,      154
445,        7,  倀,       29,      431
446,        4,  倂,        2,       48
447,        5,  倅,       28,      418
448,       58,  倆,       13,      204
449,        5,  倇,       25,      370
450,       22,  倉,        3,       54
451,      349,  個,        8,      129
452,       56,  倌,        8,      138
453,     3369,  倍,        2,       40
454,       13,  倎,       22,      357
455,       45,  倏,       21,      340
456,      224,  們,       14,      229
457,    13603,  倒,        5,       90
458,       12,  倓,       22,      350
459,      147,  倔,       11,      174
460,       12,  倕,       29,      440
461,       11,  倖,       26,      384
462,        7,  倗,       17,      281
463,        6,  倘,        4,       70
464,      184,  倘,       22,      351
465,      942,  候,        9,      153
466,      623,  倚,       27,      396
467,        7,  倛,       18,      285
468,       25,  倜,       22,      356
469,        4,  倞,       11,      169
470,        4,  倞,       13,      206
471,     7169,  借,       11,      167
472,        4,  倠,       20,      326
473,       97,  倡,        4,       70
474,        4,  倢,       11,      167
475,        4,  倢,       18,      290
476,        9,  倣,        7,      116
477,       12,  値,       29,      432
478,       13,  倥,       12,      185
479,      285,  倦,       11,      173
480,        5,  倧,       28,      416
481,       17,  倨,       11,      172
482,      600,  倩,       18,      287
483,      895,  倪,       15,      251
484,       26,  倫,       13,      218
485,       34,  倬,       29,      442
486,      157,  倭,       25,      375
487,       24,  倮,       13,      219
488,        4,  倯,       20,      322
489,        3,  倰,       13,      210
490,        4,  倱,        9,      160
491,       11,  倳,       28,      415
492,        7,  倵,       25,      376
493,       12,  倶,       11,      172
494,       11,  倷,       15,      243
495,        7,  倹,       11,      164
496,      898,  债,       29,      424
497,        6,  倻,       27,      395
498,     9175,  值,       29,      432
499,     1211,  倾,       18,      292
500,        5,  偀,       27,      398
501,       14,  偁,        4,       74
502,        8,  偂,       11,      164
503,       78,  偃,       27,      392
504,       16,  偅,       22,      361
505,       11,  偆,        4,       84
506,     8141,  假,       11,      163
507,       70,  偈,       11,      162
508,       20,  偈,       11,      167
509,       24,  偉,       25,      372
510,        7,  偊,       27,      402
511,        7,  偋,        2,       48
512,       39,  偌,       19,      312
513,        9,  偍,       22,      356
514,       82,  偎,       25,      372
515,     3154,  偏,       17,      277
516,       11,  偐,       27,      392
517,        9,  偑,        7,      119
518,       31,  偓,       25,      375
519,      121,  偕,       26,      382
520,        6,  偖,        4,       72
521,        7,  偗,       21,      337
522,   154137,  做,       28,      422
523,       12,  偛,        4,       67
524,     5939,  停,       22,      360
525,        8,  偝,        2,       40
526,        6,  偞,       29,      423
527,       10,  偟,        9,      158
528,       14,  偠,       27,      394
529,        5,  偡,       29,      425
530,        6,  偢,       28,      417
531,        8,  偣,       27,      392
532,        8,  偤,       27,      401
533,     1820,  健,       11,      164
534,        8,  偨,        3,       59
535,        5,  偩,        7,      123
536,        5,  偪,        7,      123
537,        4,  偫,       29,      432
538,       10,  偬,       28,      416
539,        5,  偭,       14,      232
540,        5,  偮,       11,      162
541,        5,  偯,       27,      396
542,        9,  偰,       26,      382
543,       10,  偲,        3,       52
544,       10,  偲,       20,      321
545,        5,  偳,        5,      105
546,       17,  側,        3,       56
547,       11,  偵,       29,      430
